Reporting country,Reference period,Item code,Item name,IORP type,Value,Date of extraction (yyyymmdd)
AT,2022,R0080,New beneficiaries,DC,22538.0,20250716
AT,2022,R0090,of which new retired members,DB,1231.0,20250716
AT,2022,R0090,of which new retired members,DC,6748.0,20250716
AT,2023,R0008,Active members,DB,88187.0,20250716
AT,2023,R0008,Active members,DC,713280.0,20250716
AT,2023,R0009,Active members reported by exempted IORPs,DB,,20250716
AT,2023,R0009,Active members reported by exempted IORPs,DC,,20250716
AT,2023,R0010,Active members reported by non-exempted IORPs,DB,88187.0,20250716
AT,2023,R0010,Active members reported by non-exempted IORPs,DC,713280.0,20250716
AT,2023,R0018,Deferred members,DB,18540.0,20250716
AT,2023,R0018,Deferred members,DC,102238.0,20250716
AT,2023,R0019,Deferred members reported by exempted IORPs,DB,,20250716
AT,2023,R0019,Deferred members reported by exempted IORPs,DC,,20250716
AT,2023,R0020,Deferred members reported by non-exempted IORPs,DB,18540.0,20250716
AT,2023,R0020,Deferred members reported by non-exempted IORPs,DC,102238.0,20250716
AT,2023,R0028,Beneficiaries,DB,24435.0,20250716
AT,2023,R0028,Beneficiaries,DC,121302.0,20250716
AT,2023,R0029,Beneficiaries reported by exempted IORPs,DB,,20250716
AT,2023,R0029,Beneficiaries reported by exempted IORPs,DC,,20250716
AT,2023,R0030,Beneficiaries reported by non-exempted IORPs,DB,24435.0,20250716
AT,2023,R0030,Beneficiaries reported by non-exempted IORPs,DC,121302.0,20250716
AT,2023,R0040,New members,DB,7421.0,20250716
AT,2023,R0040,New members,DC,61656.0,20250716
AT,2023,R0050,Deaths,DB,631.0,20250716
AT,2023,R0050,Deaths,DC,3412.0,20250716
AT,2023,R0060,Commutations,DB,968.0,20250716
AT,2023,R0060,Commutations,DC,15388.0,20250716
AT,2023,R0070,Other exits,DB,2328.0,20250716
AT,2023,R0070,Other exits,DC,22576.0,20250716
AT,2023,R0080,New beneficiaries,DB,1342.0,20250716
AT,2023,R0080,New beneficiaries,DC,16675.0,20250716
AT,2023,R0090,of which new retired members,DB,1149.0,20250716
AT,2023,R0090,of which new retired members,DC,6255.0,20250716
AT,2024,R0008,Active members,DB,83678.0,20250716
AT,2024,R0008,Active members,DC,734173.0,20250716
AT,2024,R0009,Active members reported by exempted IORPs,DB,,20250716
AT,2024,R0009,Active members reported by exempted IORPs,DC,,20250716
AT,2024,R0010,Active members reported by non-exempted IORPs,DB,83678.0,20250716
AT,2024,R0010,Active members reported by non-exempted IORPs,DC,734173.0,20250716
AT,2024,R0018,Deferred members,DB,18559.0,20250716
AT,2024,R0018,Deferred members,DC,111677.0,20250716
AT,2024,R0019,Deferred members reported by exempted IORPs,DB,,20250716
AT,2024,R0019,Deferred members reported by exempted IORPs,DC,,20250716
AT,2024,R0020,Deferred members reported by non-exempted IORPs,DB,18559.0,20250716
AT,2024,R0020,Deferred members reported by non-exempted IORPs,DC,111677.0,20250716
AT,2024,R0028,Beneficiaries,DB,23915.0,20250716
AT,2024,R0028,Beneficiaries,DC,128771.0,20250716
AT,2024,R0029,Beneficiaries reported by exempted IORPs,DB,,20250716
AT,2024,R0029,Beneficiaries reported by exempted IORPs,DC,,20250716
AT,2024,R0030,Beneficiaries reported by non-exempted IORPs,DB,23915.0,20250716
AT,2024,R0030,Beneficiaries reported by non-exempted IORPs,DC,128771.0,20250716
AT,2024,R0040,New members,DB,7945.0,20250716
AT,2024,R0040,New members,DC,66276.0,20250716
AT,2024,R0050,Deaths,DB,589.0,20250716
AT,2024,R0050,Deaths,DC,3444.0,20250716
AT,2024,R0060,Commutations,DB,982.0,20250716
AT,2024,R0060,Commutations,DC,15181.0,20250716
AT,2024,R0070,Other exits,DB,2361.0,20250716
AT,2024,R0070,Other exits,DC,21427.0,20250716
AT,2024,R0080,New beneficiaries,DB,1164.0,20250716
AT,2024,R0080,New beneficiaries,DC,15382.0,20250716
AT,2024,R0090,of which new retired members,DB,990.0,20250716
AT,2024,R0090,of which new retired members,DC,5774.0,20250716
BE,2020,R0008,Active members,DB,1076452.0,20250716
BE,2020,R0008,Active members,DC,5890.0,20250716
BE,2020,R0009,Active members reported by exempted IORPs,DB,,20250716
BE,2020,R0009,Active members reported by exempted IORPs,DC,,20250716
BE,2020,R0010,Active members reported by non-exempted IORPs,DB,1076452.0,20250716
BE,2020,R0010,Active members reported by non-exempted IORPs,DC,5890.0,20250716
BE,2020,R0018,Deferred members,DB,900480.0,20250716
BE,2020,R0018,Deferred members,DC,2014.0,20250716
BE,2020,R0019,Deferred members reported by exempted IORPs,DB,,20250716
BE,2020,R0019,Deferred members reported by exempted IORPs,DC,,20250716
BE,2020,R0020,Deferred members reported by non-exempted IORPs,DB,900480.0,20250716
BE,2020,R0020,Deferred members reported by non-exempted IORPs,DC,2014.0,20250716
BE,2020,R0028,Beneficiaries,DB,47752.0,20250716
BE,2020,R0028,Beneficiaries,DC,3.0,20250716
BE,2020,R0029,Beneficiaries reported by exempted IORPs,DB,,20250716
BE,2020,R0029,Beneficiaries reported by exempted IORPs,DC,,20250716
BE,2020,R0030,Beneficiaries reported by non-exempted IORPs,DB,47752.0,20250716
BE,2020,R0030,Beneficiaries reported by non-exempted IORPs,DC,3.0,20250716
BE,2020,R0040,New members,DB,100716.0,20250716
BE,2020,R0040,New members,DC,633.0,20250716
BE,2020,R0050,Deaths,DB,4593.0,20250716
BE,2020,R0050,Deaths,DC,0.0,20250716
BE,2020,R0060,Commutations,DB,568.0,20250716
BE,2020,R0060,Commutations,DC,67.0,20250716
BE,2020,R0070,Other exits,DB,15789.0,20250716
BE,2020,R0070,Other exits,DC,12.0,20250716
BE,2020,R0080,New beneficiaries,DB,21474.0,20250716
BE,2020,R0080,New beneficiaries,DC,6.0,20250716
BE,2020,R0090,of which new retired members,DB,3717.0,20250716
BE,2020,R0090,of which new retired members,DC,6.0,20250716
BE,2021,R0008,Active members,DB,1278255.0,20250716
BE,2021,R0008,Active members,DC,11092.0,20250716
BE,2021,R0009,Active members reported by exempted IORPs,DB,,20250716
BE,2021,R0009,Active members reported by exempted IORPs,DC,,20250716
BE,2021,R0010,Active members reported by non-exempted IORPs,DB,1278255.0,20250716
BE,2021,R0010,Active members reported by non-exempted IORPs,DC,11092.0,20250716
BE,2021,R0018,Deferred members,DB,962578.0,20250716
BE,2021,R0018,Deferred members,DC,4696.0,20250716
BE,2021,R0019,Deferred members reported by exempted IORPs,DB,,20250716
BE,2021,R0019,Deferred members reported by exempted IORPs,DC,,20250716
BE,2021,R0020,Deferred members reported by non-exempted IORPs,DB,962578.0,20250716
BE,2021,R0020,Deferred members reported by non-exempted IORPs,DC,4696.0,20250716
BE,2021,R0028,Beneficiaries,DB,51826.0,20250716
BE,2021,R0028,Beneficiaries,DC,3.0,20250716
BE,2021,R0029,Beneficiaries reported by exempted IORPs,DB,,20250716
BE,2021,R0029,Beneficiaries reported by exempted IORPs,DC,,20250716
BE,2021,R0030,Beneficiaries reported by non-exempted IORPs,DB,51826.0,20250716
BE,2021,R0030,Beneficiaries reported by non-exempted IORPs,DC,3.0,20250716
BE,2021,R0040,New members,DB,125780.0,20250716
BE,2021,R0040,New members,DC,905.0,20250716
BE,2021,R0050,Deaths,DB,4029.0,20250716
BE,2021,R0050,Deaths,DC,2.0,20250716
BE,2021,R0060,Commutations,DB,473.0,20250716
BE,2021,R0060,Commutations,DC,82.0,20250716
BE,2021,R0070,Other exits,DB,18355.0,20250716
BE,2021,R0070,Other exits,DC,158.0,20250716
BE,2021,R0080,New beneficiaries,DB,24936.0,20250716
BE,2021,R0080,New beneficiaries,DC,12.0,20250716
BE,2021,R0090,of which new retired members,DB,3924.0,20250716
BE,2021,R0090,of which new retired members,DC,9.0,20250716
BE,2022,R0008,Active members,DB,1265563.0,20250716
BE,2022,R0008,Active members,DC,18629.0,20250716
BE,2022,R0009,Active members reported by exempted IORPs,DB,,20250716
BE,2022,R0009,Active members reported by exempted IORPs,DC,,20250716
BE,2022,R0010,Active members reported by non-exempted IORPs,DB,1265563.0,20250716
BE,2022,R0010,Active members reported by non-exempted IORPs,DC,18629.0,20250716
BE,2022,R0018,Deferred members,DB,890799.0,20250716
BE,2022,R0018,Deferred members,DC,9323.0,20250716
BE,2022,R0019,Deferred members reported by exempted IORPs,DB,,20250716
BE,2022,R0019,Deferred members reported by exempted IORPs,DC,,20250716
BE,2022,R0020,Deferred members reported by non-exempted IORPs,DB,890799.0,20250716
BE,2022,R0020,Deferred members reported by non-exempted IORPs,DC,9323.0,20250716
BE,2022,R0028,Beneficiaries,DB,223255.0,20250716
BE,2022,R0028,Beneficiaries,DC,5.0,20250716
BE,2022,R0029,Beneficiaries reported by exempted IORPs,DB,,20250716
BE,2022,R0029,Beneficiaries reported by exempted IORPs,DC,,20250716
BE,2022,R0030,Beneficiaries reported by non-exempted IORPs,DB,223255.0,20250716
BE,2022,R0030,Beneficiaries reported by non-exempted IORPs,DC,5.0,20250716
BE,2022,R0040,New members,DB,282675.0,20250716
BE,2022,R0040,New members,DC,2264.0,20250716
BE,2022,R0050,Deaths,DB,4273.0,20250716
