Reporting country,Reference period,Item code,Item name,IORP type,Value (euro millions),Date of extraction (yyyymmdd)
DE,2022,R0050,Total expenses,no split available,865.935839,20250716
DE,2023,R0010,Administrative expenses,no split available,274.012022,20250716
DE,2023,R0020,Investment expenses,no split available,302.906444,20250716
DE,2023,R0030,Tax expenses,no split available,69.603305,20250716
DE,2023,R0040,Other expenses,no split available,159.527801,20250716
DE,2023,R0050,Total expenses,no split available,806.049571,20250716
DE,2024,R0010,Administrative expenses,no split available,300.067091,20250716
DE,2024,R0020,Investment expenses,no split available,303.637931,20250716
DE,2024,R0030,Tax expenses,no split available,66.007175,20250716
DE,2024,R0040,Other expenses,no split available,166.924819,20250716
DE,2024,R0050,Total expenses,no split available,836.637016,20250716
DK,2020,R0010,Administrative expenses,no split available,2.918232,20250716
DK,2020,R0020,Investment expenses,no split available,6.13253,20250716
DK,2020,R0030,Tax expenses,no split available,58.747971,20250716
DK,2020,R0040,Other expenses,no split available,0.059179,20250716
DK,2020,R0050,Total expenses,no split available,67.857912,20250716
DK,2021,R0010,Administrative expenses,DB,0.704004,20250716
DK,2021,R0020,Investment expenses,DB,3.274142,20250716
DK,2021,R0030,Tax expenses,DB,93.343917,20250716
DK,2021,R0040,Other expenses,DB,0.037892,20250716
DK,2021,R0050,Total expenses,DB,97.359956,20250716
DK,2022,R0010,Administrative expenses,no split available,2.560957,20250716
DK,2022,R0020,Investment expenses,no split available,7.484198,20250716
DK,2022,R0030,Tax expenses,no split available,149.677073,20250716
DK,2022,R0040,Other expenses,no split available,0.046896,20250716
DK,2022,R0050,Total expenses,no split available,159.769123,20250716
DK,2023,R0010,Administrative expenses,no split available,2.855999,20250716
DK,2023,R0020,Investment expenses,no split available,7.988196,20250716
DK,2023,R0030,Tax expenses,no split available,45.877869,20250716
DK,2023,R0040,Other expenses,no split available,0.04378,20250716
DK,2023,R0050,Total expenses,no split available,56.765844,20250716
DK,2024,R0010,Administrative expenses,DB,2.400201,20250716
DK,2024,R0020,Investment expenses,DB,6.532247,20250716
DK,2024,R0030,Tax expenses,DB,17.414054,20250716
DK,2024,R0040,Other expenses,DB,0.040495,20250716
DK,2024,R0050,Total expenses,DB,26.386996,20250716
EL,2024,R0010,Administrative expenses,DC,2.783436,20250716
EL,2024,R0020,Investment expenses,DC,0.637417,20250716
EL,2024,R0030,Tax expenses,DC,0.64699,20250716
EL,2024,R0040,Other expenses,DC,0.121274,20250716
EL,2024,R0050,Total expenses,DB,0.0,20250716
EL,2024,R0050,Total expenses,DC,4.189116,20250716
ES,2020,R0010,Administrative expenses,DB,3.51073,20250716
ES,2020,R0010,Administrative expenses,DC,76.418931,20250716
ES,2020,R0020,Investment expenses,DB,3.655624,20250716
ES,2020,R0020,Investment expenses,DC,67.77752,20250716
ES,2020,R0040,Other expenses,DB,0.02305,20250716
ES,2020,R0040,Other expenses,DC,0.330015,20250716
ES,2020,R0050,Total expenses,DB,7.189404,20250716
ES,2020,R0050,Total expenses,DC,144.526466,20250716
ES,2021,R0010,Administrative expenses,DB,3.334062,20250716
ES,2021,R0010,Administrative expenses,DC,73.90006,20250716
ES,2021,R0020,Investment expenses,DB,3.018918,20250716
ES,2021,R0020,Investment expenses,DC,62.005499,20250716
ES,2021,R0040,Other expenses,DB,0.028409,20250716
ES,2021,R0040,Other expenses,DC,0.200937,20250716
ES,2021,R0050,Total expenses,DB,6.381389,20250716
ES,2021,R0050,Total expenses,DC,136.106496,20250716
ES,2022,R0010,Administrative expenses,DB,2.915335,20250716
ES,2022,R0010,Administrative expenses,DC,71.328548,20250716
ES,2022,R0020,Investment expenses,DB,2.994065,20250716
ES,2022,R0020,Investment expenses,DC,67.384277,20250716
ES,2022,R0040,Other expenses,DB,0.023218,20250716
ES,2022,R0040,Other expenses,DC,2.393697,20250716
ES,2022,R0050,Total expenses,DB,5.932617,20250716
ES,2022,R0050,Total expenses,DC,141.106522,20250716
ES,2023,R0010,Administrative expenses,DB,2.605234,20250716
ES,2023,R0010,Administrative expenses,DC,71.228256,20250716
ES,2023,R0020,Investment expenses,DB,4.492589,20250716
ES,2023,R0020,Investment expenses,DC,72.176926,20250716
ES,2023,R0040,Other expenses,DB,0.537321,20250716
ES,2023,R0040,Other expenses,DC,16.194772,20250716
ES,2023,R0050,Total expenses,DB,7.635144,20250716
ES,2023,R0050,Total expenses,DC,159.599953,20250716
ES,2024,R0010,Administrative expenses,DB,1.815249,20250716
ES,2024,R0010,Administrative expenses,DC,91.56359,20250716
ES,2024,R0020,Investment expenses,DB,2.688753,20250716
ES,2024,R0020,Investment expenses,DC,58.071521,20250716
ES,2024,R0040,Other expenses,DB,0.431239,20250716
ES,2024,R0040,Other expenses,DC,17.930752,20250716
ES,2024,R0050,Total expenses,DB,4.935241,20250716
ES,2024,R0050,Total expenses,DC,167.565864,20250716
FI,2020,R0010,Administrative expenses,no split available,6.605235,20250716
FI,2020,R0020,Investment expenses,no split available,44.484921,20250716
FI,2020,R0030,Tax expenses,no split available,0.423232,20250716
FI,2020,R0040,Other expenses,no split available,10.189678,20250716
FI,2020,R0050,Total expenses,no split available,61.703065,20250716
FI,2021,R0010,Administrative expenses,no split available,6.165699,20250716
FI,2021,R0020,Investment expenses,no split available,23.57716,20250716
FI,2021,R0030,Tax expenses,no split available,1.632651,20250716
FI,2021,R0040,Other expenses,no split available,10.193687,20250716
FI,2021,R0050,Total expenses,no split available,41.569197,20250716
FI,2022,R0010,Administrative expenses,no split available,6.272755,20250716
FI,2022,R0020,Investment expenses,no split available,106.90127,20250716
FI,2022,R0030,Tax expenses,no split available,0.338395,20250716
FI,2022,R0040,Other expenses,no split available,-3.602902,20250716
FI,2022,R0050,Total expenses,no split available,109.909517,20250716
FI,2023,R0010,Administrative expenses,no split available,6.036468,20250716
FI,2023,R0020,Investment expenses,no split available,48.172,20250716
FI,2023,R0030,Tax expenses,no split available,0.335169,20250716
FI,2023,R0040,Other expenses,no split available,0.173068,20250716
FI,2023,R0050,Total expenses,no split available,54.716736,20250716
FI,2024,R0010,Administrative expenses,no split available,5.712366,20250716
FI,2024,R0020,Investment expenses,no split available,51.053035,20250716
FI,2024,R0030,Tax expenses,no split available,3.679976,20250716
FI,2024,R0040,Other expenses,no split available,0.017719,20250716
FI,2024,R0050,Total expenses,no split available,60.463096,20250716
FR,2023,R0010,Administrative expenses,DB,127.113465,20250716
FR,2023,R0010,Administrative expenses,DC,964.736578,20250716
FR,2023,R0020,Investment expenses,DB,96.422085,20250716
FR,2023,R0020,Investment expenses,DC,519.889547,20250716
FR,2023,R0030,Tax expenses,DB,14.414251,20250716
FR,2023,R0030,Tax expenses,DC,122.048065,20250716
FR,2023,R0040,Other expenses,DB,37.412915,20250716
FR,2023,R0040,Other expenses,DC,339.521359,20250716
FR,2023,R0050,Total expenses,DB,275.362716,20250716
FR,2023,R0050,Total expenses,DC,1946.19555,20250716
FR,2024,R0010,Administrative expenses,DB,140.064339,20250716
FR,2024,R0010,Administrative expenses,DC,1065.647173,20250716
FR,2024,R0020,Investment expenses,DB,94.269865,20250716
FR,2024,R0020,Investment expenses,DC,489.068025,20250716
FR,2024,R0030,Tax expenses,DB,13.904441,20250716
FR,2024,R0030,Tax expenses,DC,126.30526,20250716
FR,2024,R0040,Other expenses,DB,31.339837,20250716
FR,2024,R0040,Other expenses,DC,213.390917,20250716
FR,2024,R0050,Total expenses,DB,279.578483,20250716
FR,2024,R0050,Total expenses,DC,1894.411374,20250716
HR,2020,R0010,Administrative expenses,no split available,0.025799,20250716
HR,2020,R0020,Investment expenses,no split available,2.866288,20250716
HR,2020,R0030,Tax expenses,no split available,0.039834,20250716
HR,2020,R0040,Other expenses,no split available,0.069898,20250716
HR,2020,R0050,Total expenses,no split available,3.001819,20250716
HR,2021,R0010,Administrative expenses,no split available,0.05621,20250716
HR,2021,R0020,Investment expenses,no split available,2.867056,20250716
HR,2021,R0030,Tax expenses,no split available,0.013505,20250716
HR,2021,R0040,Other expenses,no split available,0.246719,20250716
HR,2021,R0050,Total expenses,no split available,3.18349,20250716
HR,2022,R0010,Administrative expenses,no split available,0.05085,20250716
HR,2022,R0020,Investment expenses,no split available,3.536176,20250716
HR,2022,R0030,Tax expenses,no split available,0.005627,20250716
HR,2022,R0040,Other expenses,no split available,0.005658,20250716
HR,2022,R0050,Total expenses,no split available,3.598311,20250716
HR,2023,R0010,Administrative expenses,no split available,0.049765,20250716
